date;landslides
15/06/2000;Água Fria
28/07/2008;Grotão
03/10/2007;Cota 95
09/03/2010;Cota 200
11/03/2010;Grotão
24/03/2010;Cota 200
09/02/2012;Cota 95
08/06/2010;Cota 95
22/07/2010;Cota 200
30/08/2010;Cota 95
10/12/2000;Morro do Gonzaga
16/02/2012;Pinheiro do Miranda
17/12/2006;Piloes
18/04/2009;Pinheiro do Miranda
14/08/2015;Mantiqueira
20/09/2011;Cota 95
26/01/2015;Centro
04/06/2001;Morro do Marzagão
01/06/2013;Cota 200
19/03/2010;Cota 200
26/03/2012;Cota 95
22/05/2010;Grotão
29/03/2009;Grotão
29/03/2009;Grotão
29/03/2009;Grotão
11/02/2002;Cota 400
27/04/2014;Mantiqueira
02/02/2008;Grotão
12/09/2009;Sitio dos Queiroz
16/03/2006;Cota 200
17/03/2010;Cota 200
17/03/2010;Cota 200
22/10/2008;Sitio dos Queiroz
09/05/2006;Grotão
16/11/2002;Grotão
04/07/2009;Morro do Gonzaga
09/01/2012;Cota 95
18/01/2012;Cota 95
18/01/2012;Cota 200
11/09/2009;Cota 200
19/03/2005;Grotão
20/05/2013;Cota 200
05/05/2009;Cota 200
13/03/2006;Cota 95
19/07/2010;Grotão
20/10/2009;Cota 200
15/02/2000;Cota 95
15/03/2010;Cota 95
15/03/2010;Cota 95
06/02/2009;Pinheiro do Miranda
06/02/2009;Pinheiro do Miranda
31/12/2010;Cota 95
31/12/2010;Cota 200
04/01/2010;Cota 95
11/11/2009;Cota 200
15/05/2008;Cota 95
15/05/2008;Cota 200
16/03/2010;Cota 95
16/03/2010;Cota 200
16/03/2010;Morro do Gonzaga
11/02/2009;Grotão
04/03/2010;Piloes
03/09/2009;Morro do Gonzaga
27/02/2012;Cota 95
12/03/2008;Cota 200
09/02/2010;Cota 200
09/02/2010;Cota 200
16/03/2008;Cota 95
28/05/2010;Cota 95
22/08/2011;Cota 200
13/05/2012;Cota 200
18/01/2010;Cota 95
18/01/2010;Cota 95
18/01/2010;Cota 200
07/01/2011;Grotão
07/01/2011;Grotão
07/09/2009;Sitio dos Queiroz
16/01/2011;Cota 200
06/01/2011;Cota 95
30/08/2011;Cota 95
06/01/2013;Cota 95
06/01/2013;Cota 200
25/02/2013;Cota 200
25/02/2013;Vila Elizabeth
